img_name,img_type1,img_type2,evolution,name_clean,name,pokedex_number,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,capture_rate,base_egg_steps,height_m,weight_kg,classfication,abilities,final_type1,final_type2
bulbasaur,Grass,Poison,ivysaur,bulbasaur,Bulbasaur,1.0,grass,poison,45.0,49.0,49.0,65.0,65.0,45.0,318.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,45,5120.0,0.7,6.9,Seed Pokémon,"['Overgrow', 'Chlorophyll']",grass,poison
ivysaur,Grass,Poison,venusaur,ivysaur,Ivysaur,2.0,grass,poison,60.0,62.0,63.0,80.0,80.0,60.0,405.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,45,5120.0,1.0,13.0,Seed Pokémon,"['Overgrow', 'Chlorophyll']",grass,poison
venusaur,Grass,Poison,,venusaur,Venusaur,3.0,grass,poison,80.0,100.0,123.0,122.0,120.0,80.0,625.0,1.0,0.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,45,5120.0,2.0,100.0,Seed Pokémon,"['Overgrow', 'Chlorophyll']",grass,poison
charmander,Fire,,charmeleon,charmander,Charmander,4.0,fire,,39.0,52.0,43.0,60.0,50.0,65.0,309.0,1.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,45,5120.0,0.6,8.5,Lizard Pokémon,"['Blaze', 'Solar Power']",fire,
charmeleon,Fire,,charizard,charmeleon,Charmeleon,5.0,fire,,58.0,64.0,58.0,80.0,65.0,80.0,405.0,1.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,45,5120.0,1.1,19.0,Flame Pokémon,"['Blaze', 'Solar Power']",fire,
charizard,Fire,Flying,,charizard,Charizard,6.0,fire,flying,78.0,104.0,78.0,159.0,115.0,100.0,634.0,1.0,0.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,45,5120.0,1.7,90.5,Flame Pokémon,"['Blaze', 'Solar Power']",fire,flying
squirtle,Water,,wartortle,squirtle,Squirtle,7.0,water,,44.0,48.0,65.0,50.0,64.0,43.0,314.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,5120.0,0.5,9.0,Tiny Turtle Pokémon,"['Torrent', 'Rain Dish']",water,
wartortle,Water,,blastoise,wartortle,Wartortle,8.0,water,,59.0,63.0,80.0,65.0,80.0,58.0,405.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,5120.0,1.0,22.5,Turtle Pokémon,"['Torrent', 'Rain Dish']",water,
blastoise,Water,,,blastoise,Blastoise,9.0,water,,79.0,103.0,120.0,135.0,115.0,78.0,630.0,1.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,5120.0,1.6,85.5,Shellfish Pokémon,"['Torrent', 'Rain Dish']",water,
caterpie,Bug,,metapod,caterpie,Caterpie,10.0,bug,,45.0,30.0,35.0,20.0,20.0,45.0,195.0,1.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,255,3840.0,0.3,2.9,Worm Pokémon,"['Shield Dust', 'Run Away']",bug,
